Time (s),Voltage (V)
0.000000,5.0000
0.000010,5.0000
0.000021,5.0000
0.000031,5.0000
0.000042,5.0000
0.000052,5.0000
0.000063,5.0000
0.000073,5.0000
0.000083,5.0000
0.000094,5.0000
0.000104,5.0000
0.000115,5.0000
0.000125,5.0000
0.000135,5.0000
0.000146,5.0000
0.000156,5.0000
0.000167,5.0000
0.000177,5.0000
0.000187,5.0000
0.000198,5.0000
0.000208,5.0000
0.000219,5.0000
0.000229,5.0000
0.000240,5.0000
0.000250,5.0000
0.000260,5.0000
0.000271,5.0000
0.000281,5.0000
0.000292,5.0000
0.000302,5.0000
0.000312,5.0000
0.000323,5.0000
0.000333,5.0000
0.000344,5.0000
0.000354,5.0000
0.000365,5.0000
0.000375,5.0000
0.000385,5.0000
0.000396,5.0000
0.000406,5.0000
0.000417,5.0000
0.000427,5.0000
0.000437,5.0000
0.000448,5.0000
0.000458,5.0000
0.000469,5.0000
0.000479,5.0000
0.000490,5.0000
0.000500,5.0000
0.000510,5.0000
0.000521,0.0000
0.000531,0.0000
0.000542,0.0000
0.000552,0.0000
0.000563,0.0000
0.000573,0.0000
0.000583,0.0000
0.000594,0.0000
0.000604,0.0000
0.000615,0.0000
0.000625,5.0000
0.000635,5.0000
0.000646,5.0000
0.000656,5.0000
0.000667,5.0000
0.000677,5.0000
0.000688,5.0000
0.000698,5.0000
0.000708,5.0000
0.000719,5.0000
0.000729,5.0000
0.000740,5.0000
0.000750,5.0000
0.000760,5.0000
0.000771,5.0000
0.000781,5.0000
0.000792,5.0000
0.000802,5.0000
0.000813,5.0000
0.000823,5.0000
0.000833,5.0000
0.000844,5.0000
0.000854,5.0000
0.000865,5.0000
0.000875,5.0000
0.000885,5.0000
0.000896,5.0000
0.000906,5.0000
0.000917,5.0000
0.000927,5.0000
0.000938,0.0000
0.000948,0.0000
0.000958,0.0000
0.000969,0.0000
0.000979,0.0000
0.000990,0.0000
0.001000,0.0000
0.001010,0.0000
0.001021,0.0000
0.001031,0.0000
0.001042,5.0000
0.001052,5.0000
0.001063,5.0000
0.001073,5.0000
0.001083,5.0000
0.001094,5.0000
0.001104,5.0000
0.001115,5.0000
0.001125,5.0000
0.001135,5.0000
0.001146,5.0000
0.001156,5.0000
0.001167,5.0000
0.001177,5.0000
0.001188,5.0000
0.001198,5.0000
0.001208,5.0000
0.001219,5.0000
0.001229,5.0000
0.001240,5.0000
0.001250,5.0000
0.001260,5.0000
0.001271,5.0000
0.001281,5.0000
0.001292,5.0000
0.001302,5.0000
0.001312,5.0000
0.001323,5.0000
0.001333,5.0000
0.001344,5.0000
0.001354,0.0000
0.001365,0.0000
0.001375,0.0000
0.001385,0.0000
0.001396,0.0000
0.001406,0.0000
0.001417,0.0000
0.001427,0.0000
0.001437,0.0000
0.001448,0.0000
0.001458,5.0000
0.001469,5.0000
0.001479,5.0000
0.001490,5.0000
0.001500,5.0000
0.001510,5.0000
0.001521,5.0000
0.001531,5.0000
0.001542,5.0000
0.001552,5.0000
0.001562,5.0000
0.001573,5.0000
0.001583,5.0000
0.001594,5.0000
0.001604,5.0000
0.001615,5.0000
0.001625,5.0000
0.001635,5.0000
0.001646,5.0000
0.001656,5.0000
0.001667,5.0000
0.001677,5.0000
0.001687,5.0000
0.001698,5.0000
0.001708,5.0000
0.001719,5.0000
0.001729,5.0000
0.001740,5.0000
0.001750,5.0000
0.001760,5.0000
0.001771,0.0000
0.001781,0.0000
0.001792,0.0000
0.001802,0.0000
0.001812,0.0000
0.001823,0.0000
0.001833,0.0000
0.001844,0.0000
0.001854,0.0000
0.001865,0.0000
0.001875,0.0000
0.001885,0.0000
0.001896,0.0000
0.001906,0.0000
0.001917,0.0000
0.001927,0.0000
0.001937,0.0000
0.001948,0.0000
0.001958,0.0000
0.001969,0.0000
0.001979,0.0000
0.001990,0.0000
0.002000,0.0000
0.002010,0.0000
0.002021,0.0000
0.002031,0.0000
0.002042,0.0000
0.002052,0.0000
0.002062,0.0000
0.002073,0.0000
0.002083,0.0000
0.002094,0.0000
0.002104,0.0000
0.002115,0.0000
0.002125,0.0000
0.002135,0.0000
0.002146,0.0000
0.002156,0.0000
0.002167,0.0000
0.002177,0.0000
0.002187,0.0000
0.002198,0.0000
0.002208,0.0000
0.002219,0.0000
0.002229,0.0000
0.002240,0.0000
0.002250,0.0000
0.002260,0.0000
0.002271,0.0000
0.002281,0.0000
0.002292,5.0000
0.002302,5.0000
0.002313,5.0000
0.002323,5.0000
0.002333,5.0000
0.002344,5.0000
0.002354,5.0000
0.002365,5.0000
0.002375,5.0000
0.002385,5.0000
0.002396,5.0000
0.002406,5.0000
0.002417,5.0000
0.002427,5.0000
0.002438,5.0000
0.002448,5.0000
0.002458,5.0000
0.002469,5.0000
0.002479,5.0000
0.002490,5.0000
0.002500,0.0000
0.002510,0.0000
0.002521,0.0000
0.002531,0.0000
0.002542,0.0000
0.002552,0.0000
0.002563,0.0000
0.002573,0.0000
0.002583,0.0000
0.002594,0.0000
0.002604,0.0000
0.002615,0.0000
0.002625,0.0000
0.002635,0.0000
0.002646,0.0000
0.002656,0.0000
0.002667,0.0000
0.002677,0.0000
0.002688,0.0000
0.002698,0.0000
0.002708,5.0000
0.002719,5.0000
0.002729,5.0000
0.002740,5.0000
0.002750,5.0000
0.002760,5.0000
0.002771,5.0000
0.002781,5.0000
0.002792,5.0000
0.002802,5.0000
0.002813,5.0000
0.002823,5.0000
0.002833,5.0000
0.002844,5.0000
0.002854,5.0000
0.002865,5.0000
0.002875,5.0000
0.002885,5.0000
0.002896,5.0000
0.002906,5.0000
0.002917,5.0000
0.002927,5.0000
0.002938,5.0000
0.002948,5.0000
0.002958,5.0000
0.002969,5.0000
0.002979,5.0000
0.002990,5.0000
0.003000,5.0000
0.003010,5.0000
0.003021,0.0000
0.003031,0.0000
0.003042,0.0000
0.003052,0.0000
0.003063,0.0000
0.003073,0.0000
0.003083,0.0000
0.003094,0.0000
0.003104,0.0000
0.003115,0.0000
0.003125,5.0000
0.003135,5.0000
0.003146,5.0000
0.003156,5.0000
0.003167,5.0000
0.003177,5.0000
0.003188,5.0000
0.003198,5.0000
0.003208,5.0000
0.003219,5.0000
0.003229,5.0000
0.003240,5.0000
0.003250,5.0000
0.003260,5.0000
0.003271,5.0000
0.003281,5.0000
0.003292,5.0000
0.003302,5.0000
0.003313,5.0000
0.003323,5.0000
0.003333,5.0000
0.003344,5.0000
0.003354,5.0000
0.003365,5.0000
0.003375,5.0000
0.003385,5.0000
0.003396,5.0000
0.003406,5.0000
0.003417,5.0000
0.003427,5.0000
0.003438,0.0000
0.003448,0.0000
0.003458,0.0000
0.003469,0.0000
0.003479,0.0000
0.003490,0.0000
0.003500,0.0000
0.003510,0.0000
0.003521,0.0000
0.003531,0.0000
0.003542,5.0000
0.003552,5.0000
0.003563,5.0000
0.003573,5.0000
0.003583,5.0000
0.003594,5.0000
0.003604,5.0000
0.003615,5.0000
0.003625,5.0000
0.003635,5.0000
0.003646,5.0000
0.003656,5.0000
0.003667,5.0000
0.003677,5.0000
0.003688,5.0000
0.003698,5.0000
0.003708,5.0000
0.003719,5.0000
0.003729,5.0000
0.003740,5.0000
0.003750,5.0000
0.003760,5.0000
0.003771,5.0000
0.003781,5.0000
0.003792,5.0000
0.003802,5.0000
0.003813,5.0000
0.003823,5.0000
0.003833,5.0000
0.003844,5.0000
0.003854,0.0000
0.003865,0.0000
0.003875,0.0000
0.003885,0.0000
0.003896,0.0000
0.003906,0.0000
0.003917,0.0000
0.003927,0.0000
0.003938,0.0000
0.003948,0.0000
0.003958,5.0000
0.003969,5.0000
0.003979,5.0000
0.003990,5.0000
0.004000,5.0000
0.004010,5.0000
0.004021,5.0000
0.004031,5.0000
0.004042,5.0000
0.004052,5.0000
0.004063,5.0000
0.004073,5.0000
0.004083,5.0000
0.004094,5.0000
0.004104,5.0000
0.004115,5.0000
0.004125,5.0000
0.004135,5.0000
0.004146,5.0000
0.004156,5.0000
0.004167,5.0000
0.004177,5.0000
0.004188,5.0000
0.004198,5.0000
0.004208,5.0000
0.004219,5.0000
0.004229,5.0000
0.004240,5.0000
0.004250,5.0000
0.004260,5.0000
0.004271,0.0000
0.004281,0.0000
0.004292,0.0000
0.004302,0.0000
0.004313,0.0000
0.004323,0.0000
0.004333,0.0000
0.004344,0.0000
0.004354,0.0000
0.004365,0.0000
0.004375,5.0000
0.004385,5.0000
0.004396,5.0000
0.004406,5.0000
0.004417,5.0000
0.004427,5.0000
0.004438,5.0000
0.004448,5.0000
0.004458,5.0000
0.004469,5.0000
0.004479,5.0000
0.004490,5.0000
0.004500,5.0000
0.004510,5.0000
0.004521,5.0000
0.004531,5.0000
0.004542,5.0000
0.004552,5.0000
0.004563,5.0000
0.004573,5.0000
0.004583,5.0000
0.004594,5.0000
0.004604,5.0000
0.004615,5.0000
0.004625,5.0000
0.004635,5.0000
0.004646,5.0000
0.004656,5.0000
0.004667,5.0000
0.004677,5.0000
0.004688,5.0000
0.004698,5.0000
0.004708,5.0000
0.004719,5.0000
0.004729,5.0000
0.004740,5.0000
0.004750,5.0000
0.004760,5.0000
0.004771,5.0000
0.004781,5.0000
0.004792,5.0000
0.004802,5.0000
0.004812,5.0000
0.004823,5.0000
0.004833,5.0000
0.004844,5.0000
0.004854,5.0000
0.004865,5.0000
0.004875,5.0000
0.004885,5.0000
0.004896,0.0000
0.004906,0.0000
0.004917,0.0000
0.004927,0.0000
0.004937,0.0000
0.004948,0.0000
0.004958,0.0000
0.004969,0.0000
0.004979,0.0000
0.004990,0.0000
0.005000,5.0000
0.005010,5.0000
0.005021,5.0000
0.005031,5.0000
0.005042,5.0000
0.005052,5.0000
0.005062,5.0000
0.005073,5.0000
0.005083,5.0000
0.005094,5.0000
0.005104,0.0000
0.005115,0.0000
0.005125,0.0000
0.005135,0.0000
0.005146,0.0000
0.005156,0.0000
0.005167,0.0000
0.005177,0.0000
0.005187,0.0000
0.005198,0.0000
0.005208,5.0000
0.005219,5.0000
0.005229,5.0000
0.005240,5.0000
0.005250,5.0000
0.005260,5.0000
0.005271,5.0000
0.005281,5.0000
0.005292,5.0000
0.005302,5.0000
0.005312,5.0000
0.005323,5.0000
0.005333,5.0000
0.005344,5.0000
0.005354,5.0000
0.005365,5.0000
0.005375,5.0000
0.005385,5.0000
0.005396,5.0000
0.005406,5.0000
0.005417,5.0000
0.005427,5.0000
0.005437,5.0000
0.005448,5.0000
0.005458,5.0000
0.005469,5.0000
0.005479,5.0000
0.005490,5.0000
0.005500,5.0000
0.005510,5.0000
0.005521,0.0000
0.005531,0.0000
0.005542,0.0000
0.005552,0.0000
0.005562,0.0000
0.005573,0.0000
0.005583,0.0000
0.005594,0.0000
0.005604,0.0000
0.005615,0.0000
0.005625,5.0000
0.005635,5.0000
0.005646,5.0000
0.005656,5.0000
0.005667,5.0000
0.005677,5.0000
0.005687,5.0000
0.005698,5.0000
0.005708,5.0000
0.005719,5.0000
0.005729,0.0000
0.005740,0.0000
0.005750,0.0000
0.005760,0.0000
0.005771,0.0000
0.005781,0.0000
0.005792,0.0000
0.005802,0.0000
0.005812,0.0000
0.005823,0.0000
0.005833,5.0000
0.005844,5.0000
0.005854,5.0000
0.005865,5.0000
0.005875,5.0000
0.005885,5.0000
0.005896,5.0000
0.005906,5.0000
0.005917,5.0000
0.005927,5.0000
0.005937,0.0000
0.005948,0.0000
0.005958,0.0000
0.005969,0.0000
0.005979,0.0000
0.005990,0.0000
0.006000,0.0000
0.006010,0.0000
0.006021,0.0000
0.006031,0.0000
0.006042,5.0000
0.006052,5.0000
0.006062,5.0000
0.006073,5.0000
0.006083,5.0000
0.006094,5.0000
0.006104,5.0000
0.006115,5.0000
0.006125,5.0000
0.006135,5.0000
0.006146,0.0000
0.006156,0.0000
0.006167,0.0000
0.006177,0.0000
0.006187,0.0000
0.006198,0.0000
0.006208,0.0000
0.006219,0.0000
0.006229,0.0000
0.006240,0.0000
0.006250,5.0000
0.006260,5.0000
0.006271,5.0000
0.006281,5.0000
0.006292,5.0000
0.006302,5.0000
0.006312,5.0000
0.006323,5.0000
0.006333,5.0000
0.006344,5.0000
0.006354,0.0000
0.006365,0.0000
0.006375,0.0000
0.006385,0.0000
0.006396,0.0000
0.006406,0.0000
0.006417,0.0000
0.006427,0.0000
0.006437,0.0000
0.006448,0.0000
0.006458,5.0000
0.006469,5.0000
0.006479,5.0000
0.006490,5.0000
0.006500,5.0000
0.006510,5.0000
0.006521,5.0000
0.006531,5.0000
0.006542,5.0000
0.006552,5.0000
0.006562,5.0000
0.006573,5.0000
0.006583,5.0000
0.006594,5.0000
0.006604,5.0000
0.006615,5.0000
0.006625,5.0000
0.006635,5.0000
0.006646,5.0000
0.006656,5.0000
0.006667,5.0000
0.006677,5.0000
0.006687,5.0000
0.006698,5.0000
0.006708,5.0000
0.006719,5.0000
0.006729,5.0000
0.006740,5.0000
0.006750,5.0000
0.006760,5.0000
0.006771,0.0000
0.006781,0.0000
0.006792,0.0000
0.006802,0.0000
0.006812,0.0000
0.006823,0.0000
0.006833,0.0000
0.006844,0.0000
0.006854,0.0000
0.006865,0.0000
0.006875,5.0000
0.006885,5.0000
0.006896,5.0000
0.006906,5.0000
0.006917,5.0000
0.006927,5.0000
0.006937,5.0000
0.006948,5.0000
0.006958,5.0000
0.006969,5.0000
0.006979,0.0000
0.006990,0.0000
0.007000,0.0000
0.007010,0.0000
0.007021,0.0000
0.007031,0.0000
0.007042,0.0000
0.007052,0.0000
0.007062,0.0000
0.007073,0.0000
0.007083,0.0000
0.007094,0.0000
0.007104,0.0000
0.007115,0.0000
0.007125,0.0000
0.007135,0.0000
0.007146,0.0000
0.007156,0.0000
0.007167,0.0000
0.007177,0.0000
0.007187,0.0000
0.007198,0.0000
0.007208,0.0000
0.007219,0.0000
0.007229,0.0000
0.007240,0.0000
0.007250,0.0000
0.007260,0.0000
0.007271,0.0000
0.007281,0.0000
0.007292,0.0000
0.007302,0.0000
0.007312,0.0000
0.007323,0.0000
0.007333,0.0000
0.007344,0.0000
0.007354,0.0000
0.007365,0.0000
0.007375,0.0000
0.007385,0.0000
0.007396,0.0000
0.007406,0.0000
0.007417,0.0000
0.007427,0.0000
0.007437,0.0000
0.007448,0.0000
0.007458,0.0000
0.007469,0.0000
0.007479,0.0000
0.007490,0.0000
0.007500,5.0000
0.007510,5.0000
0.007521,5.0000
0.007531,5.0000
0.007542,5.0000
0.007552,5.0000
0.007562,5.0000
0.007573,5.0000
0.007583,5.0000
0.007594,5.0000
0.007604,0.0000
0.007615,0.0000
0.007625,0.0000
0.007635,0.0000
0.007646,0.0000
0.007656,0.0000
0.007667,0.0000
0.007677,0.0000
0.007687,0.0000
0.007698,0.0000
0.007708,5.0000
0.007719,5.0000
0.007729,5.0000
0.007740,5.0000
0.007750,5.0000
0.007760,5.0000
0.007771,5.0000
0.007781,5.0000
0.007792,5.0000
0.007802,5.0000
0.007812,5.0000
0.007823,5.0000
0.007833,5.0000
0.007844,5.0000
0.007854,5.0000
0.007865,5.0000
0.007875,5.0000
0.007885,5.0000
0.007896,5.0000
0.007906,5.0000
0.007917,5.0000
0.007927,5.0000
0.007937,5.0000
0.007948,5.0000
0.007958,5.0000
0.007969,5.0000
0.007979,5.0000
0.007990,5.0000
0.008000,5.0000
0.008010,5.0000
0.008021,0.0000
0.008031,0.0000
0.008042,0.0000
0.008052,0.0000
0.008062,0.0000
0.008073,0.0000
0.008083,0.0000
0.008094,0.0000
0.008104,0.0000
0.008115,0.0000
0.008125,0.0000
0.008135,0.0000
0.008146,0.0000
0.008156,0.0000
0.008167,0.0000
0.008177,0.0000
0.008187,0.0000
0.008198,0.0000
0.008208,0.0000
0.008219,0.0000
0.008229,5.0000
0.008240,5.0000
0.008250,5.0000
0.008260,5.0000
0.008271,5.0000
0.008281,5.0000
0.008292,5.0000
0.008302,5.0000
0.008312,5.0000
0.008323,5.0000
0.008333,0.0000
0.008344,0.0000
0.008354,0.0000
0.008365,0.0000
0.008375,0.0000
0.008385,0.0000
0.008396,0.0000
0.008406,0.0000
0.008417,0.0000
0.008427,0.0000
0.008437,0.0000
0.008448,0.0000
0.008458,0.0000
0.008469,0.0000
0.008479,0.0000
0.008490,0.0000
0.008500,0.0000
0.008510,0.0000
0.008521,0.0000
0.008531,0.0000
0.008542,5.0000
0.008552,5.0000
0.008562,5.0000
0.008573,5.0000
0.008583,5.0000
0.008594,5.0000
0.008604,5.0000
0.008615,5.0000
0.008625,5.0000
0.008635,5.0000
0.008646,0.0000
0.008656,0.0000
0.008667,0.0000
0.008677,0.0000
0.008687,0.0000
0.008698,0.0000
0.008708,0.0000
0.008719,0.0000
0.008729,0.0000
0.008740,0.0000
0.008750,5.0000
0.008760,5.0000
0.008771,5.0000
0.008781,5.0000
0.008792,5.0000
0.008802,5.0000
0.008812,5.0000
0.008823,5.0000
0.008833,5.0000
0.008844,5.0000
0.008854,0.0000
0.008865,0.0000
0.008875,0.0000
0.008885,0.0000
0.008896,0.0000
0.008906,0.0000
0.008917,0.0000
0.008927,0.0000
0.008937,0.0000
0.008948,0.0000
0.008958,5.0000
0.008969,5.0000
0.008979,5.0000
0.008990,5.0000
0.009000,5.0000
0.009010,5.0000
0.009021,5.0000
0.009031,5.0000
0.009042,5.0000
0.009052,5.0000
0.009062,5.0000
0.009073,5.0000
0.009083,5.0000
0.009094,5.0000
0.009104,5.0000
0.009115,5.0000
0.009125,5.0000
0.009135,5.0000
0.009146,5.0000
0.009156,5.0000
0.009167,5.0000
0.009177,5.0000
0.009187,5.0000
0.009198,5.0000
0.009208,5.0000
0.009219,5.0000
0.009229,5.0000
0.009240,5.0000
0.009250,5.0000
